JEREZ DE LA FRONTERA,11000160234300002,7339006QA5673G,RONDA DE LOS VI„EDOS,2,1,CAD30002-CR000117-03,J11001771,CTO 522518
JEREZ DE LA FRONTERA,11000160233500014,7339001QA5673G,LA VID,14,1,CAD30002-CR000117-03,J11001771,CTO 522517
JEREZ DE LA FRONTERA,,6532302QA5663B,NTRO P JESUS D SENTENCIA,7,1,CAD30002-CR000106-06,J11002167,CTO 525824
JEREZ DE LA FRONTERA,11000160232500016,7129502QA5672G,VENERABLE VARGAS,16,24,CAD30002-CR000115-02,J11001879,CTO 525737-525738
JEREZ DE LA FRONTERA,11000160836900003,9356005QA5695E,LA GRANJA,3,1,CAD30002-CR000230-01,J11000135,CTO 506359-506360
JEREZ DE LA FRONTERA,11000160039200007,6050602QA5665A,URBANIZACION LA UNION,7,40,CAD30002-CR000154-01,J11001935,CTO 529079
JEREZ DE LA FRONTERA,11000160065600002,9453801QA5695C,JOSE LUIS PANTOJA ANTUNEZ,2,70,CAD30002-CR000230-02,J11000310,CTO 506305-506307
JEREZ DE LA FRONTERA,11000160832400006,6824606QA5662D,PLACIDO FERNANDEZ VIAGAS,6,40,CAD30002-CR000232-01,J11000138,CTO 506948
JEREZ DE LA FRONTERA,11000160817199999,6548420QA5664H,DE MEJICO,9999,1,CAD30002-CR000267-02,J11001639,CTO 512963
JEREZ DE LA FRONTERA,11000160817199999,6548421QA5664H,DE MEJICO,9999,3,CAD30002-CR000267-02,J11001639,CTO 512960
JEREZ DE LA FRONTERA,11000160817199999,6548421QA5664H,DE MEJICO,9999,1,CAD30002-CR000267-02,J11001639,CTO 512960
JEREZ DE LA FRONTERA,11000160180399999,6548408QA5664H,JOSE CADIZ SALVATIERRA,9999,76,CAD30002-CR000267-02,J11001639,CTO 512946-512947
JEREZ DE LA FRONTERA,11000160013100001,6548409QA5664H,FERNANDO VIOLA,1,28,CAD30002-CR000267-02,J11001639,CTO 512943-512945
JEREZ DE LA FRONTERA,11000160013100003,6548409QA5664H,FERNANDO VIOLA,3,23,CAD30002-CR000267-02,J11001639,CTO 512943-512945
JEREZ DE LA FRONTERA,11000160013100007,6548406QA5664H,FERNANDO VIOLA,7,1,CAD30002-CR000267-02,J11001639,CTO 512950-512952
JEREZ DE LA FRONTERA,11000160180300005,6548406QA5664H,JOSE CADIZ SALVATIERRA,5,1,CAD30002-CR000267-02,J11001639,CTO 512950-512952
JEREZ DE LA FRONTERA,11000160180399999,6548406QA5664H,JOSE CADIZ SALVATIERRA,9999,1,CAD30002-CR000267-02,J11001639,CTO 512950-512952
JEREZ DE LA FRONTERA,11000160041999999,5320902QA5652S,DEL REINO UNIDO,9999,6,CAD30002-CR000635-01,J11000322,CTO 507430-513026
JEREZ DE LA FRONTERA,11000160042200001,5320902QA5652S,BELGICA,1,47,CAD30002-CR000635-01,J11000322,CTO 507430-513026
JEREZ DE LA FRONTERA,11000160042200003,5320902QA5652S,BELGICA,3,52,CAD30002-CR000635-01,J11000322,CTO 507430-513026
JEREZ DE LA FRONTERA,11000160042600009,5221801QA5652S,GRECIA,9,165,CAD30002-CR000634-01,J11000321,CTO 512549-512555
JEREZ DE LA FRONTERA,11000160172100004,6639432QA5663H,FRAY LUIS DE CARVAJAL,4,1,CAD30002-CR000015-02,J11000054,CTO 513478
JEREZ DE LA FRONTERA,11000160172100004,6639433QA5663H,FRAY LUIS DE CARVAJAL,4,1,CAD30002-CR000015-02,J11000054,CTO 513476
JEREZ DE LA FRONTERA,11000160154400001,5153807QA5655C,CAVABIEN,1,1,CAD30002-CR000166-01,J11000073,CTO 502595
JEREZ DE LA FRONTERA,11000160012700013,8346901QA5684E,LOLA FLORES,13,275,CAD30002-CR000457-02,J11000266,CTO 516100-516113
JEREZ DE LA FRONTERA,11000160012400017,6345009QA5664E,CIRCO,17,21,CAD30002-CR000221-01,J11000122,CTO 507359-507367
JEREZ DE LA FRONTERA,11000160973300002,6345009QA5664E,VENTURA NU„EZ VENTURITA,2,28,CAD30002-CR000221-01,J11000122,CTO 507359-507367
JEREZ DE LA FRONTERA,11000160973300004,6345009QA5664E,VENTURA NU„EZ VENTURITA,4,24,CAD30002-CR000221-01,J11000122,CTO 507359-507367
JEREZ DE LA FRONTERA,11000160973300010,6345009QA5664E,VENTURA NU„EZ VENTURITA,10,28,CAD30002-CR000221-01,J11000122,CTO 507359-507367
JEREZ DE LA FRONTERA,11000160973300014,6345009QA5664E,VENTURA NU„EZ VENTURITA,14,21,CAD30002-CR000221-01,J11000122,CTO 507359-507367
JEREZ DE LA FRONTERA,11000160037000001,7962201QA5676B,DE LA VENDIMIA,1,10,CAD30002-CR000100-02,J11001641,CTO 516215-516216
JEREZ DE LA FRONTERA,11000160037000002,7962201QA5676B,DE LA VENDIMIA,2,14,CAD30002-CR000100-02,J11001641,CTO 516215-516216
JEREZ DE LA FRONTERA,11000160037000003,7962201QA5676B,DE LA VENDIMIA,3,12,CAD30002-CR000100-02,J11001641,CTO 516215-516216
JEREZ DE LA FRONTERA,11000160037000004,7962201QA5676B,DE LA VENDIMIA,4,9,CAD30002-CR000100-02,J11001641,CTO 516215-516216
